Datetime,Load_MW,Temperature_C
2012-10-01 13:00:00,5092.0,12.480000000000018
2012-10-01 14:00:00,5103.0,12.513207797000007
2012-10-01 15:00:00,5036.0,12.606824139000025
2012-10-01 16:00:00,4985.0,12.700440479999997
2012-10-01 17:00:00,4975.0,12.794056822000016
2012-10-01 18:00:00,5027.0,12.887673164000034
2012-10-01 19:00:00,5127.0,12.981289505999996
2012-10-01 20:00:00,5361.0,13.074905848000014
2012-10-01 21:00:00,5299.0,13.168522189000043
2012-10-01 22:00:00,5016.0,13.262138531000005
2012-10-01 23:00:00,4641.0,13.355754873000024
2012-10-02 00:00:00,4295.0,13.449371215000042
2013-01-01 01:00:00,5311.0,0.4200000000000159
2013-01-01 02:00:00,5161.0,-0.2699999999999818
2013-01-01 03:00:00,5057.0,-0.9499999999999886
2013-01-01 04:00:00,4989.0,-1.7399999999999523
2013-01-01 05:00:00,5027.0,-1.5
2013-01-01 06:00:00,5098.0,-1.339999999999975
2013-01-01 07:00:00,5194.0,-0.9099999999999682
2013-01-01 08:00:00,5284.0,-1.5499999999999545
2013-01-01 09:00:00,5384.0,-2.2799999999999727
2013-01-01 10:00:00,5593.0,-2.4899999999999523
2013-01-01 11:00:00,5772.0,-2.3799999999999955
2013-01-01 12:00:00,5912.0,-2.319999999999993
2013-01-01 13:00:00,5928.0,-1.8999999999999773
2013-01-01 14:00:00,5911.0,-1.329999999999984
2013-01-01 15:00:00,5882.0,-0.2599999999999909
2013-01-01 16:00:00,5867.0,0.8400000000000318
2013-01-01 17:00:00,6069.0,1.8000000000000114
2013-01-01 18:00:00,6465.0,2.1899999999999977
2013-01-01 19:00:00,6516.0,2.2900000000000205
2013-01-01 20:00:00,6470.0,2.2900000000000205
2013-01-01 21:00:00,6416.0,1.9700000000000273
2013-01-01 22:00:00,6166.0,2.0
2013-01-01 23:00:00,5838.0,1.9800000000000182
2013-01-02 00:00:00,5558.0,2.390000000000043
2013-01-02 01:00:00,5397.0,2.7600000000000477
2013-01-02 02:00:00,5315.0,3.3000000000000114
2013-01-02 03:00:00,5312.0,3.8000000000000114
2013-01-02 04:00:00,5365.0,4.170000000000016
2013-01-02 05:00:00,5507.0,4.660000000000025
2013-01-02 06:00:00,5917.0,4.550000000000011
2013-01-02 07:00:00,6480.0,4.340000000000032
2013-01-02 08:00:00,6835.0,4.400000000000034
2013-01-02 09:00:00,6902.0,4.010000000000048
2013-01-02 10:00:00,6775.0,3.5400000000000205
2013-01-02 11:00:00,6823.0,3.2900000000000205
2013-01-02 12:00:00,6732.0,3.0100000000000477
2013-01-02 13:00:00,6589.0,3.140000000000043
2013-01-02 14:00:00,6540.0,3.400000000000034
2013-01-02 15:00:00,6407.0,3.910000000000025
2013-01-02 16:00:00,6364.0,4.010000000000048
2013-01-02 17:00:00,6615.0,4.110000000000014
2013-01-02 18:00:00,7225.0,3.900000000000034
2013-01-02 19:00:00,7448.0,3.8100000000000023
2013-01-02 20:00:00,7400.0,3.730000000000018
2013-01-02 21:00:00,7411.0,3.4399999999999977
2013-01-02 22:00:00,7134.0,3.080000000000041
2013-01-02 23:00:00,6792.0,2.6200000000000045
2013-01-03 00:00:00,6399.0,1.9300000000000068
2013-01-03 01:00:00,6127.0,1.240000000000009
2013-01-03 02:00:00,6094.0,0.7000000000000455
2013-01-03 03:00:00,6026.0,0.03000000000002956
2013-01-03 04:00:00,6118.0,-0.39999999999997726
2013-01-03 05:00:00,6231.0,-1.5299999999999727
2013-01-03 06:00:00,6612.0,-3.109999999999957
2013-01-03 07:00:00,7258.0,-4.689999999999998
2013-01-03 08:00:00,7563.0,-4.689999999999998
2013-01-03 09:00:00,7538.0,-4.689999999999998
2013-01-03 10:00:00,7303.0,-4.689999999999998
2013-01-03 11:00:00,7074.0,-4.689999999999998
2013-01-03 12:00:00,6926.0,-4.689999999999998
2013-01-03 13:00:00,6736.0,-3.2299999999999613
2013-01-03 14:00:00,6546.0,-2.9674999999999727
2013-01-03 15:00:00,6354.0,-1.1099999999999568
2013-01-03 16:00:00,6318.0,-0.45999999999997954
2013-01-03 17:00:00,6515.0,0.12000000000000455
2013-01-03 18:00:00,7083.0,0.30000000000001137
2013-01-03 19:00:00,7376.0,0.4900000000000091
2013-01-03 20:00:00,7340.0,0.5600000000000023
2013-01-03 21:00:00,7309.0,-0.47999999999996135
2013-01-03 22:00:00,7017.0,-1.419999999999959
2013-01-03 23:00:00,6604.0,-1.92999999999995
